account_id,frequency,disp_id,card_type,card_issued,order_insurance_pay,order_household_pay,order_loan_pay,order_lease_pay,district_id,district_name,region,nInhabitants,demo_avg_salary,demo_unemploy_rate95,demo_unemploy_rate96,nEnterpreneurs,nCrimes95,nCrimes96,nYearMonth,nCredit,nWithdraw,nCCWithdraw,nCreditCash,nCol_from_bank,nWithdrawCash,nRemitt,nInsurrance,nStatement,nIntCredit,nSancInt,nHousehold,nPension,nLoanPay,avgMonthly_balance,avgMonthly_amount,avgMonthly_withdrawal_card,avgMonthly_credit_cash,avgMonthly_collection_bank,avgMonthly_withdrawal_cash,avgMonthly_remittance,avgMonthly_insurance,avgMonthly_statement,avgMonthly_credited,avgMonthly_sanc_interest,avgMonthly_household,avgMonthly_pension,avgMonthly_loan,loan_id,loan_issued,loan_amount,loan_duration,loan_payments,loan_status
132,"POPLATEK PO OBRATU",158,classic,1997-12-06,0.0,0.0,7370.2,0.0,40,Teplice,"north Bohemia",128118,9317,6.4,7.07,97,6949,6872,32,79,104,79,79,79,79,79,0,0,0,0,0,0,0,325481.7813,12633.5938,234.3750,39961.5938,0.0000,36086.1563,2763.7500,0.0000,90.6250,202.7188,0.0000,0.0000,0.0000,2763.7500,4996,1996-11-06,88440,12,7370.00,A
173,"POPLATEK MESICNE",210,NULL,NULL,0.0,6256.0,0.0,0.0,66,"Zdar nad Sazavou","south Moravia",125832,8512,3.5,4.12,102,2247,2103,62,156,416,156,156,156,156,156,0,0,0,0,0,0,0,345358.0484,1032.0484,0.0000,21195.4839,0.0000,10698.0645,9604.2581,675.7258,13.5484,138.8871,0.0000,5751.4839,0.0000,1690.4516,5002,1994-05-31,104808,12,8734.00,A
176,"POPLATEK TYDNE",215,NULL,NULL,0.0,0.0,2288.3,0.0,71,"Novy Jicin","north Moravia",161227,8678,5.9,5.57,102,4980,4595,29,82,183,82,82,82,82,82,0,0,0,0,0,0,0,465385.5862,9124.2414,0.0000,50879.8621,0.0000,43443.6897,5157.8621,86.9655,26.8966,198.5517,0.0000,4091.8621,0.0000,946.7586,5005,1997-04-10,27456,12,2288.00,A
226,"POPLATEK MESICNE",272,classic,1997-12-05,0.0,8928.0,0.0,0.0,70,Karvina,"north Moravia",285387,10177,6.6,7.75,81,9878,10108,23,55,74,55,55,55,55,55,0,0,0,0,0,0,0,278746.6522,1933.3913,630.4348,21074.5217,0.0000,9324.1304,9364.1739,0.0000,11.0870,177.6087,0.0000,6987.1304,0.0000,2377.0435,5015,1998-07-12,109344,12,9112.00,C
276,"POPLATEK MESICNE",333,classic,1998-10-13,0.0,0.0,4470.5,0.0,38,Louny,"north Bohemia",85852,8965,7.0,8.23,104,2653,2822,13,27,37,27,27,27,27,27,0,0,0,0,0,0,0,251467.3846,7120.0000,276.9231,53.8462,29917.8462,21808.6923,3551.3077,0.0000,9.2308,232.4615,0.0000,3207.3846,0.0000,343.9231,5027,1998-12-02,160920,36,4470.00,C
290,"POPLATEK MESICNE",352,NULL,NULL,0.0,0.0,2577.0,0.0,56,Breclav,"south Moravia",124605,8772,4.6,4.98,126,2854,3158,61,160,298,160,160,160,160,160,0,0,0,0,0,0,0,430282.4098,14319.8852,0.0000,34302.5082,0.0000,26425.9672,7468.9836,0.0000,13.5246,202.1967,0.0000,2435.5410,0.0000,2027.8033,5032,1994-11-03,123696,48,2577.00,A
303,"POPLATEK MESICNE",370,classic,1998-10-18,0.0,3803.0,0.0,0.0,71,"Novy Jicin","north Moravia",161227,8678,5.9,5.57,102,4980,4595,30,62,114,62,62,62,62,62,0,0,0,0,0,0,0,279937.7333,1415.0000,196.6667,16812.0000,0.0000,11478.6667,3899.9667,0.0000,12.0000,178.3000,0.0000,3169.1667,0.0000,730.8000,5034,1998-05-30,112752,36,3132.00,C
309,"POPLATEK MESICNE",376,NULL,NULL,0.0,0.0,1901.0,0.0,14,"Ceske Budejovice","south Bohemia",177686,10045,1.4,1.71,135,6604,6295,21,42,66,42,42,42,42,42,0,0,0,0,0,0,0,153219.2857,1152.7619,0.0000,20286.6667,0.0000,19152.6190,90.5238,0.0000,10.7143,109.2381,0.0000,0.0000,0.0000,90.5238,5036,1998-11-25,91248,48,1901.00,C
314,"POPLATEK PO OBRATU",383,NULL,NULL,0.0,0.0,2785.0,0.0,15,"Cesky Krumlov","south Bohemia",58796,9045,3.1,3.60,124,1845,1879,36,74,140,74,74,74,74,74,0,0,0,0,0,0,0,243228.0000,6512.2500,0.0000,230.5556,38946.9167,25267.7222,13336.6944,0.0000,83.3333,131.5278,0.0000,11789.4722,0.0000,1547.2222,5039,1997-05-03,66840,24,2785.00,C
319,"POPLATEK TYDNE",389,NULL,NULL,0.0,0.0,6149.5,0.0,47,Pardubice,"east Bohemia",162580,9538,1.5,1.81,111,6079,5410,39,112,248,112,112,112,112,112,0,0,0,0,0,0,0,613836.4103,14913.6923,0.0000,43939.2821,0.0000,35926.0000,6225.2308,384.0000,27.6923,231.5897,0.0000,975.6923,0.0000,2838.4615,5041,1997-07-11,369000,60,6150.00,C
330,"POPLATEK MESICNE",403,NULL,NULL,0.0,0.0,6908.0,0.0,42,"Havlickuv Brod","east Bohemia",95907,8388,2.4,2.94,87,1658,1668,26,51,79,51,51,51,51,51,0,0,0,0,0,0,0,210102.1923,1027.6923,0.0000,23700.3846,0.0000,21232.3077,1594.1538,0.0000,11.5385,153.7692,0.0000,0.0000,0.0000,1594.1538,5042,1998-07-12,331584,48,6908.00,C
339,"POPLATEK TYDNE",414,classic,1998-02-02,0.0,0.0,7801.2,0.0,46,Nachod,"east Bohemia",112709,8369,1.7,2.31,117,2854,2618,28,58,147,58,58,58,58,58,0,0,0,0,0,0,0,508292.8214,14871.1071,214.2857,142.8571,50986.1071,40974.6786,6739.8929,0.0000,24.6429,299.5000,0.0000,3357.1786,0.0000,3343.2857,5043,1997-12-25,468060,60,7801.00,C
344,"POPLATEK MESICNE",421,NULL,NULL,0.0,4739.0,0.0,0.0,54,"Brno - mesto","south Moravia",387570,9897,1.6,1.96,140,18721,18696,61,128,271,128,128,128,128,128,0,0,0,0,0,0,0,268747.2295,927.6393,0.0000,15399.0492,0.0000,8877.7049,5752.5738,0.0000,13.7705,158.8689,0.0000,4428.2459,0.0000,1324.3279,5044,1994-12-21,100980,60,1683.00,C
347,"POPLATEK MESICNE",424,NULL,NULL,0.0,0.0,7801.2,0.0,65,Znojmo,"south Moravia",114200,8403,5.7,5.72,105,2157,2718,61,150,185,150,150,150,150,150,0,0,0,0,0,0,0,273257.1639,18044.4590,0.0000,32627.3115,0.0000,29071.5902,2813.4754,0.0000,13.5246,171.6230,0.9672,0.0000,0.0000,2813.4754,5045,1995-05-01,187224,24,7801.00,B
349,"POPLATEK MESICNE",426,NULL,NULL,0.0,4660.0,0.0,0.0,72,Olomouc,"north Moravia",226122,8994,3.8,4.79,110,9672,9208,19,51,56,51,51,51,51,51,0,0,0,0,0,0,0,96047.5263,877.8421,0.0000,9353.1053,0.0000,4365.7895,4184.8421,0.0000,11.0526,75.3684,0.0000,3433.6842,0.0000,751.1579,5046,1998-09-09,42816,12,3568.00,C
378,"POPLATEK MESICNE",458,NULL,NULL,0.0,0.0,3840.2,0.0,68,"Frydek - Mistek","north Moravia",228848,9893,4.0,4.72,96,5623,5887,30,103,230,103,103,103,103,103,0,0,0,0,0,0,0,781917.4667,10291.8667,0.0000,65831.4667,0.0000,53800.6667,10998.5333,1.8667,14.0000,266.2667,0.0000,7967.8667,0.0000,1920.0000,5051,1997-10-11,230400,60,3840.00,C
426,"POPLATEK MESICNE",512,NULL,NULL,0.0,0.0,4201.2,0.0,1,"Hl.m. Praha",Prague,1204953,12541,0.2,0.43,167,85677,99107,62,150,284,150,150,150,150,150,0,0,0,0,0,0,0,243499.3387,4002.4677,0.0000,25175.4355,0.0000,13770.1452,11055.9839,0.0000,14.0323,118.6774,0.1613,6771.4839,0.0000,3455.6613,5060,1994-07-19,252060,60,4201.00,D
440,"POPLATEK MESICNE",530,NULL,NULL,0.0,5825.0,0.0,0.0,29,Rokycany,"west Bohemia",45714,8843,2.8,3.60,113,818,888,25,52,95,52,52,52,52,52,0,0,0,0,0,0,0,203872.4000,2398.8400,0.0000,17417.6000,0.0000,10095.4000,5059.1600,0.0000,11.4000,135.8000,0.0000,4427.0000,0.0000,632.1600,5061,1998-03-13,84288,48,1756.00,C
442,"POPLATEK MESICNE",533,NULL,NULL,0.0,0.0,7455.0,0.0,54,"Brno - mesto","south Moravia",387570,9897,1.6,1.96,140,18721,18696,20,35,45,35,35,35,35,35,0,0,0,0,0,0,0,124965.9500,2718.7000,0.0000,21372.1500,0.0000,13460.3000,5295.1500,0.0000,5.2500,102.0000,0.0500,1962.1000,0.0000,2609.2500,5063,1997-07-10,357840,48,7455.00,D
472,"POPLATEK MESICNE",568,NULL,NULL,0.0,0.0,8200.2,0.0,8,"Mlada Boleslav","central Bohemia",112065,11277,1.2,1.44,127,5179,4987,27,54,100,54,54,54,54,54,0,0,0,0,0,0,0,344936.6667,6265.0370,0.0000,88.8889,51934.4815,45345.5926,5770.3704,0.0000,11.6667,231.3333,0.4074,0.0000,0.0000,5770.3704,5072,1997-04-28,196800,24,8200.00,D
501,"POPLATEK MESICNE",603,NULL,NULL,0.0,0.0,4382.7,0.0,13,Rakovnik,"central Bohemia",53921,8598,2.7,3.26,123,1597,1875,39,95,128,95,95,95,95,95,0,0,0,0,0,0,0,378329.5897,8040.3333,0.0000,34162.5128,0.0000,29375.6410,2922.0000,0.0000,13.8462,231.3590,0.0000,0.0000,0.0000,2922.0000,5082,1996-10-24,262980,60,4383.00,C
525,"POPLATEK MESICNE",631,NULL,NULL,0.0,0.0,4382.7,0.0,70,Karvina,"north Moravia",285387,10177,6.6,7.75,81,9878,10108,33,77,105,77,77,77,77,77,0,0,0,0,0,0,0,272573.0606,8804.3636,0.0000,28751.5455,0.0000,19180.6364,6756.1515,0.0000,10.4545,176.5152,0.0000,4498.2424,0.0000,2257.9091,5086,1997-07-16,210384,48,4383.00,C
544,"POPLATEK MESICNE",655,classic,1996-08-08,0.0,0.0,3798.2,0.0,32,"Ceska Lipa","north Bohemia",105058,9272,2.8,3.22,118,4340,4505,44,99,129,99,99,99,99,99,0,0,0,0,0,0,0,308484.9773,16730.5000,188.6364,1613.6364,24342.8864,21382.4318,2071.6364,0.0000,12.9545,214.0909,0.0000,0.0000,0.0000,2071.6364,5088,1996-08-22,91152,24,3798.00,A
666,"POPLATEK MESICNE",798,classic,1997-08-22,0.0,3936.0,0.0,0.0,27,"Plzen - jih","west Bohemia",67298,8561,0.6,1.29,110,1029,1127,34,78,198,78,78,78,78,78,0,0,0,0,0,0,0,386683.9118,2386.0588,1141.1765,16773.1765,0.0000,7168.2353,6276.0000,786.4706,12.3529,198.2941,0.0000,3241.4118,0.0000,368.8235,5103,1997-11-28,12540,12,1045.00,A
675,"POPLATEK MESICNE",810,classic,1998-07-01,0.0,6358.0,0.0,0.0,58,Jihlava,"south Moravia",109164,8757,3.3,3.95,96,2212,2471,41,106,157,106,106,106,106,106,0,0,0,0,0,0,0,245411.4634,1632.8049,229.2683,12701.0000,0.0000,4547.3171,6455.4146,0.0000,13.1707,163.8049,0.0000,5582.6341,0.0000,872.7805,5110,1997-04-01,102240,60,1704.00,C
718,"POPLATEK MESICNE",861,classic,1998-09-16,0.0,0.0,6412.0,0.0,1,"Hl.m. Praha",Prague,1204953,12541,0.2,0.43,167,85677,99107,34,90,178,90,90,90,90,90,0,0,0,0,0,0,0,402679.0588,12339.9412,279.4118,41389.8529,0.0000,26913.1471,13083.0882,4797.2647,11.4706,169.4412,0.0000,576.5294,0.0000,2263.0588,5117,1997-08-20,76944,12,6412.00,A
785,"POPLATEK TYDNE",939,NULL,NULL,0.0,0.0,4335.8,0.0,21,Tabor,"south Bohemia",103347,9104,1.5,2.07,123,2299,2354,17,40,62,40,40,40,40,40,0,0,0,0,0,0,0,278707.0588,11579.2941,0.0000,600.0000,28310.3529,18397.7059,8025.6471,0.0000,21.1765,198.0588,0.0000,5220.0000,0.0000,2805.6471,5124,1998-02-12,156096,36,4336.00,C
789,"POPLATEK MESICNE",944,NULL,NULL,0.0,2153.0,0.0,0.0,39,Most,"north Bohemia",119895,10446,7.3,9.40,90,4947,4743,47,100,194,100,100,100,100,100,0,0,0,0,0,0,0,112054.9149,441.2766,0.0000,6467.9149,0.0000,1515.1064,4588.5532,0.0000,13.4043,77.0213,0.0000,1923.9574,0.0000,1198.1702,5125,1995-11-23,73056,48,1522.00,C
790,"POPLATEK MESICNE",946,classic,1995-05-01,0.0,0.0,4335.8,0.0,54,"Brno - mesto","south Moravia",387570,9897,1.6,1.96,140,18721,18696,68,158,224,158,158,158,158,158,0,0,0,0,0,0,0,271729.1176,7337.4118,500.0000,27762.8529,0.0000,24389.3824,2614.3529,0.0000,13.4559,167.6176,0.0000,0.0000,0.0000,2614.3529,5126,1994-07-24,208128,48,4336.00,B
808,"POPLATEK MESICNE",968,NULL,NULL,0.0,0.0,4492.0,0.0,69,Jesenik,"north Moravia",42821,8173,NULL,7.01,124,NULL,1358,43,128,158,128,128,128,128,128,0,0,0,0,0,0,0,120066.2558,699.9070,0.0000,16353.7209,0.0000,12549.8837,3238.6047,0.0000,12.9070,134.6744,2.5581,8195.3488,0.0000,3238.6047,5128,1996-04-11,215616,48,4492.00,D
813,"POPLATEK MESICNE",976,NULL,NULL,0.0,0.0,2025.7,0.0,16,"Jindrichuv Hradec","south Bohemia",93931,8427,1.1,1.54,107,1874,1913,71,155,219,155,155,155,155,155,0,0,0,0,0,0,0,199635.3521,6743.3521,0.0000,456.3380,13181.0986,12947.0704,342.4225,0.0000,13.9437,148.8732,0.0000,0.0000,0.0000,342.4225,5130,1994-05-11,24312,12,2026.00,A
816,"POPLATEK MESICNE",980,NULL,NULL,0.0,0.0,2025.7,0.0,52,"Usti nad Orlici","east Bohemia",139012,8363,2.5,3.49,108,2564,2799,65,183,303,183,183,183,183,183,0,0,0,0,0,0,0,534306.1692,4463.1692,0.0000,43205.6615,0.0000,37076.5231,4845.3846,0.0000,13.6154,268.9846,0.0000,4097.3231,0.0000,748.0615,5131,1995-01-08,48624,24,2026.00,A
817,"POPLATEK MESICNE",981,NULL,NULL,0.0,4605.0,0.0,0.0,5,Kolin,"central Bohemia",95616,9307,3.8,4.43,118,2616,3040,58,115,246,115,115,115,115,115,0,0,0,0,0,0,0,195066.8621,743.7759,0.0000,22866.4828,0.0000,10911.7241,11326.1207,0.0000,13.4483,115.1379,0.0000,4208.0172,0.0000,7118.1034,5132,1995-02-17,538500,60,8975.00,C
825,"POPLATEK MESICNE",992,classic,1998-11-29,0.0,9235.0,0.0,0.0,19,Prachatice,"south Bohemia",51428,8402,3.1,3.98,120,999,1099,34,82,136,82,82,82,82,82,0,0,0,0,0,0,0,217182.9118,1227.6176,161.7647,18202.5294,0.0000,7526.9118,9437.9706,0.0000,12.7941,151.7353,0.0000,7876.9118,0.0000,1561.0588,5134,1997-02-02,53076,12,4423.00,A
846,"POPLATEK MESICNE",1020,classic,1998-04-16,0.0,0.0,7795.5,0.0,72,Olomouc,"north Moravia",226122,8994,3.8,4.79,110,9672,9208,34,98,116,98,98,98,98,98,0,0,0,0,0,0,0,445711.9412,13790.7941,97.0588,43334.1176,0.0000,34618.1176,5503.0588,0.0000,13.6765,236.6176,0.0000,0.0000,0.0000,5503.0588,5136,1996-07-28,187104,24,7796.00,A
854,"POPLATEK MESICNE",1029,NULL,NULL,0.0,382.0,0.0,0.0,62,"Uherske Hradiste","south Moravia",145688,8544,1.2,1.86,109,2719,2906,64,129,382,129,129,129,129,129,0,0,0,0,0,0,0,210730.8125,696.3281,0.0000,11296.0625,0.0000,5507.3438,5195.2500,2620.8906,13.5938,102.8594,0.0000,352.1563,0.0000,1220.7969,5138,1995-05-30,87216,48,1817.00,C
873,"POPLATEK MESICNE",1051,NULL,NULL,0.0,878.0,0.0,0.0,73,Opava,"north Moravia",182027,8746,3.3,3.74,90,4355,4433,21,53,97,53,53,53,53,53,0,0,0,0,0,0,0,120682.6667,635.5714,0.0000,8712.7619,0.0000,3384.0476,4764.9048,1579.2857,10.7143,71.7619,0.0000,668.9524,0.0000,1416.6667,5140,1998-02-24,178500,60,2975.00,C
915,"POPLATEK MESICNE",1102,NULL,NULL,0.0,0.0,6449.0,0.0,72,Olomouc,"north Moravia",226122,8994,3.8,4.79,110,9672,9208,48,101,208,101,101,101,101,101,0,0,0,0,0,0,0,354031.0417,10596.8958,0.0000,604.1667,41112.3750,22170.8125,18042.1667,0.0000,13.1250,190.4583,0.0000,12802.3542,0.0000,5239.8125,5145,1995-09-16,309552,48,6449.00,C
938,"POPLATEK MESICNE",1130,NULL,NULL,0.0,3282.0,0.0,0.0,70,Karvina,"north Moravia",285387,10177,6.6,7.75,81,9878,10108,13,31,32,31,31,31,31,31,0,0,0,0,0,0,0,148326.8462,2286.3846,0.0000,6484.6154,0.0000,2346.5385,1967.0000,0.0000,8.0769,115.3077,0.0000,1767.2308,0.0000,199.7692,5147,1998-05-21,22260,60,371.00,C
940,"POPLATEK MESICNE",1133,gold,1998-05-12,0.0,0.0,4738.0,0.0,37,Litomerice,"north Bohemia",114006,9065,4.4,5.39,123,4147,4166,50,106,169,106,106,106,106,106,0,0,0,0,0,0,0,432398.4600,12749.5000,204.0000,636.0000,40485.6800,36086.7000,2937.5600,0.0000,13.2000,289.0800,0.0000,0.0000,0.0000,2937.5600,5148,1996-05-29,284280,60,4738.00,C
960,"POPLATEK PO OBRATU",1157,classic,1997-02-19,0.0,0.0,3151.0,0.0,4,Kladno,"central Bohemia",149893,9753,4.6,5.05,109,5244,5892,50,105,229,105,105,105,105,105,0,0,0,0,0,0,0,409047.9600,20772.9200,436.0000,814.0000,43611.9000,34477.5600,8174.6600,0.0000,90.0000,232.1200,0.0000,5464.8000,0.0000,2709.8600,5151,1995-05-24,189060,60,3151.00,C
993,"POPLATEK MESICNE",1197,classic,1998-12-22,0.0,0.0,1812.3,0.0,6,"Kutna Hora","central Bohemia",77963,8546,2.9,4.02,126,2640,3120,26,51,48,51,51,51,51,51,0,0,0,0,0,0,0,218765.9231,9407.9615,69.2308,24621.5385,0.0000,20355.7308,418.1538,0.0000,5.7692,237.3077,0.0000,0.0000,0.0000,418.1538,5154,1998-07-01,108720,60,1812.00,C
1004,"POPLATEK MESICNE",1208,NULL,NULL,0.0,0.0,5237.0,0.0,70,Karvina,"north Moravia",285387,10177,6.6,7.75,81,9878,10108,29,85,112,85,85,85,85,85,0,0,0,0,0,0,0,466265.3103,13726.7586,0.0000,54025.9310,0.0000,49990.6207,1625.2759,0.0000,12.4138,229.2759,0.0000,0.0000,0.0000,1625.2759,5158,1998-04-11,188532,36,5237.00,C
1011,"POPLATEK MESICNE",1215,NULL,NULL,0.0,0.0,3400.5,0.0,45,Jicin,"east Bohemia",77917,8390,2.2,2.89,132,2080,2122,49,106,208,106,106,106,106,106,0,0,0,0,0,0,0,377011.2041,6161.0816,0.0000,865.3061,21652.0816,12726.7959,8860.7347,0.0000,13.1633,224.3673,0.0000,6362.0408,0.0000,2498.6939,5160,1995-12-18,204000,60,3400.00,C
1012,"POPLATEK MESICNE",1216,NULL,NULL,0.0,0.0,4090.8,0.0,65,Znojmo,"south Moravia",114200,8403,5.7,5.72,105,2157,2718,54,179,193,179,179,179,179,179,0,0,0,0,0,0,0,302868.7963,21887.2963,0.0000,2138.8889,26590.5000,26639.4074,1590.9444,0.0000,13.6111,303.4444,0.0556,0.0000,0.0000,1590.9444,5161,1994-10-28,98184,24,4091.00,A
1068,"POPLATEK MESICNE",1282,NULL,NULL,0.0,0.0,4219.5,0.0,52,"Usti nad Orlici","east Bohemia",139012,8363,2.5,3.49,108,2564,2799,23,49,104,49,49,49,49,49,0,0,0,0,0,0,0,239418.9130,3615.9565,0.0000,19365.6957,0.0000,10886.2609,7313.7391,494.6087,11.0870,143.3913,0.0000,3707.2174,0.0000,550.4348,5169,1998-09-24,253200,60,4220.00,C
1071,"POPLATEK TYDNE",1286,NULL,NULL,0.0,0.0,4219.5,0.0,68,"Frydek - Mistek","north Moravia",228848,9893,4.0,4.72,96,5623,5887,68,153,211,153,153,153,153,153,0,0,0,0,0,0,0,272715.7206,10185.8676,0.0000,27648.9412,0.0000,23769.6176,3661.4706,0.0000,28.2353,188.1912,0.0000,0.0000,0.0000,3661.4706,5170,1994-01-20,253200,60,4220.00,C
1083,"POPLATEK MESICNE",1300,NULL,NULL,0.0,1930.0,0.0,0.0,45,Jicin,"east Bohemia",77917,8390,2.2,2.89,132,2080,2122,25,59,133,59,59,59,59,59,0,0,0,0,0,0,0,203169.4400,871.0800,0.0000,13775.2000,0.0000,6660.8000,6353.3600,3654.8400,12.0000,110.0400,0.0000,1544.0000,0.0000,453.1200,5172,1998-04-16,50976,36,1416.00,C
1093,"POPLATEK MESICNE",1311,NULL,NULL,0.0,0.0,8022.8,0.0,54,"Brno - mesto","south Moravia",387570,9897,1.6,1.96,140,18721,18696,36,71,151,71,71,71,71,71,0,0,0,0,0,0,0,321820.6111,13519.3611,0.0000,27.7778,50811.3611,37065.2222,12847.3611,0.0000,12.5000,176.2500,0.0000,8835.8611,0.0000,4011.5000,5174,1997-06-13,385104,48,8023.00,C
1106,"POPLATEK TYDNE",1327,NULL,NULL,0.0,0.0,8022.8,0.0,20,Strakonice,"south Bohemia",70646,8547,2.6,3.64,120,1563,1542,65,147,210,147,147,147,147,147,0,0,0,0,0,0,0,218075.0154,7700.4923,0.0000,27142.8923,0.0000,24793.0308,2468.6154,0.0000,25.3846,132.8769,4.4615,0.0000,0.0000,2468.6154,5176,1994-11-12,192552,24,8023.00,B
1166,"POPLATEK MESICNE",1404,NULL,NULL,0.0,0.0,3105.2,0.0,11,"Praha - zapad","central Bohemia",75637,9622,0.4,0.59,154,3475,3529,69,141,291,141,141,141,141,141,0,0,0,0,0,0,0,240993.8551,5039.2609,0.0000,136.2319,19980.9855,13401.2609,6238.3768,0.0000,13.6957,140.1739,0.0000,4078.3768,0.0000,2160.0000,5189,1994-02-07,149040,48,3105.00,A
1242,"POPLATEK PO OBRATU",1499,NULL,NULL,0.0,0.0,5355.7,0.0,74,"Ostrava - mesto","north Moravia",323870,10673,4.7,5.44,100,18782,18347,26,69,155,69,69,69,69,69,0,0,0,0,0,0,0,452854.7692,7777.0000,0.0000,34124.1154,0.0000,22494.8846,10600.7692,340.8462,80.7692,212.6154,0.0000,3965.7692,0.0000,3296.0000,5206,1997-09-07,128544,24,5356.00,C
